Lớp,Mã HP,Môn,TC,LT,TH,Tự học,PCGD,SS lớp,Mã LHP,Nhóm,LT/TH,Thứ,Ca,GĐ,GV,Ghi chú,Ghi chú
K67S-AE1,ELT3189,Kỹ thuật Anten,3,45,,,6,30,ELT3189 1,CL,LT,6,2,101-A,Nguyễn Hằng Hải,,"Học 1 ca/15 tuần, thi đợt 2"
K67S-AE1,ELT3098,Truyền thông vệ tinh,3,45,,,6,30,ELT3098 1,CL,LT,6,1,101-A,Kiều Hữu Thu,,"Học 1 ca/15 tuần, thi đợt 2"
K67S-AE2,EMA3014,Cơ học quỹ đạo bay,3,30,,,6,30,EMA3014 1,CL,LT,6,2,506-A,Dương Việt Dũng,,"Học 1 ca/10 tuần, thi đợt 1"
K67S-AE2,EMA3014,Cơ học quỹ đạo bay,3,,30,,6,30,EMA3014 1,CL,TH,4,4,104-T,Nguyễn Công Minh,,"Học 1 ca/10 tuần, thi đợt 1"
K67S-AE2,AER3036,Vật liệu hàng không,3,45,,,6,30,AER3036 1,CL,LT,5,3,505-A,Nguyễn Văn Thương,,"Học 1 ca/15 tuần, thi đợt 2"
K67S-AE2,AER3044,Nguyên lý máy,3,45,,,6,30,AER3044 1,CL,LT,6,1,506-A,Lê Đình Anh+Nguyễn Văn Thương,,"Học 1 ca/15 tuần, thi đợt 2"
K67S-AE3,AER3008,Phân tích dữ liệu không gian,3,30,,,6,30,AER3008 1,CL,LT,6,1,104-T,Hà Minh Cường,,"Học 1 ca/10 tuần, thi đợt 1"
K67S-AE3,AER3008,Phân tích dữ liệu không gian,3,,30,,6,30,AER3008 1,CL,TH,4,4,216-T,Hoàng Tích Phúc,,"Học 1 ca/10 tuần, thi đợt 1"
K67S-AE3,AER3014,Các vấn đề hiện đại trong viễn thám và GIS,3,45,,,6,30,AER3014 1,CL,LT,4,1,216-T,Hà Minh Cường,,"Học 1 ca/15 tuần, thi đợt 2"
K67S-AE3,AER3028,"Thiết kế, tích hợp vệ tinh nhỏ và đồ án",3,30,,,6,30,AER3028 1,CL,LT,5,1,403-B,Nguyễn Văn Thương,,"Học 1 ca/10 tuần, thi đợt 1"
K67S-AE3,AER3028,"Thiết kế, tích hợp vệ tinh nhỏ và đồ án",3,,30,,6,30,AER3028 1,CL,TH,4,2,216-T,Trần Đăng Huy,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE1,PEC1008,Kinh tế chính trị Mác – Lênin,2,20,10,,9,70,PEC1008 22,CL,LT,6,3,203-A,Ngô Thái Hà,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE2,PEC1008,Kinh tế chính trị Mác – Lênin,2,20,10,,9,70,PEC1008 23,CL,LT,2,2,206-T,Đỗ Đức Quân,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE1,HIS1001,Lịch sử Đảng Cộng sản Việt Nam,2,20,10,,9,70,HIS1001 24,CL,LT,5,1,211-T,Nguyễn Thị Nguyệt Ánh,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE2,HIS1001,Lịch sử Đảng Cộng sản Việt Nam,2,20,10,,9,70,HIS1001 27,CL,LT,2,4,206-T,Nguyễn Thị Giang,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE1,CTE2024,Cơ học vật rắn biến dạng trong kỹ thuật,3,30,30,,5,70,CTE2024 1,CL,LT+TH,3,3,102-T,Vũ Thị Thùy Anh,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K69C-CE1,CTE2024,Cơ học vật rắn biến dạng trong kỹ thuật,3,30,30,,5,70,CTE2024 1,CL,LT+TH,2,1,207-T,Vũ Thị Thùy Anh,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K69C-CE2,CTE2024,Cơ học vật rắn biến dạng trong kỹ thuật,3,30,30,,5,70,CTE2024 2,CL,LT+TH,6,2,106-A,Vũ Thị Thùy Anh,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K69C-CE2,CTE2024,Cơ học vật rắn biến dạng trong kỹ thuật,3,30,30,,5,70,CTE2024 2,CL,LT+TH,5,1,204-A,Vũ Thị Thùy Anh,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K69C-CE1,CTE2025,Sức bền vật liệu,3,30,30,,5,70,CTE2025 1,CL,LT+TH,2,2,107-T,Lê Thùy Dương,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K69C-CE1,CTE2025,Sức bền vật liệu,3,30,30,,5,70,CTE2025 1,CL,LT+TH,3,2,210-T,Lê Thùy Dương,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K69C-CE2,CTE2025,Sức bền vật liệu,3,30,30,,5,70,CTE2025 2,CL,LT+TH,2,3,206-T,Lê Thùy Dương,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K69C-CE2,CTE2025,Sức bền vật liệu,3,30,30,,5,70,CTE2025 2,CL,LT+TH,4,2,207-T,Lê Thùy Dương,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K69C-CE1,CTE3016,Phong thủy trong xây dựng,2,25,10,,5,70,CTE3016 1,CL,LT+TH,5,3,211-T,Nguyễn Đình Đức+Trần Tuấn Linh,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-CE2,CTE3016,Phong thủy trong xây dựng,2,25,10,,5,70,CTE3016 2,CL,LT+TH,6,3,106-A,Nguyễn Đình Đức+Trần Tuấn Linh,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-CE1,CTE2011,Vật liệu xây dựng,3,35,,,5,70,CTE2011 1,CL,LT,5,2,211-T,Nguyễn Đình Đức+Vũ Văn Huy,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE1,CTE2011,Vật liệu xây dựng,3,,20,,5,35,CTE2011 1,1,TH,3,1,203-T,Vũ Văn Huy,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE1,CTE2011,Vật liệu xây dựng,3,,20,,5,35,CTE2011 1,2,TH,6,2,202-A,Vũ Văn Huy,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE2,CTE2011,Vật liệu xây dựng,3,35,,,5,70,CTE2011 2,CL,LT,6,1,106-A,Nguyễn Đình Đức+Vũ Văn Huy,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE2,CTE2011,Vật liệu xây dựng,3,,20,,5,35,CTE2011 2,1,TH,4,4,204-T,Vũ Văn Huy,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE2,CTE2011,Vật liệu xây dựng,3,,20,,5,35,CTE2011 2,2,TH,4,3,204-T,Vũ Văn Huy,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-CE1,CTE3006,Địa chất công trình,2,25,10,,5,70,CTE3006 1,CL,LT+TH,2,3,107-T,Nguyễn Tiến Dũng,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-CE2,CTE3006,Địa chất công trình,2,25,10,,5,70,CTE3006 2,CL,LT+TH,3,3,3-G3,Vũ Bá Thao,,"Học 1 ca/15 tuần, thi đợt 2"
K68C-CE1,CTE3001,Nền và móng,3,35,,,5,70,CTE3001 1,CL,LT,6,1,211-T,Nguyễn Văn Hùng,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3001,Nền và móng,3,,20,,5,35,CTE3001 1,1,TH,5,2,305-A,Nguyễn Văn Hùng,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3001,Nền và móng,3,,20,,5,35,CTE3001 1,2,TH,5,1,305-A,Nguyễn Văn Hùng,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3001,Nền và móng,3,35,,,5,70,CTE3001 2,CL,LT,5,1,210-T,Nguyễn Văn Bắc,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3001,Nền và móng,3,,20,,5,35,CTE3001 2,1,TH,4,2,204-T,Nguyễn Văn Bắc,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3001,Nền và móng,3,,20,,5,35,CTE3001 2,2,TH,6,4,104-T,Nguyễn Văn Bắc,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3052,Kết cấu bê tông cốt thép,3,35,,,5,70,CTE3052 1,CL,LT,4,2,208-T,Nguyễn Ngọc Vinh+Phạm Hồng Ngọc,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3052,Kết cấu bê tông cốt thép,3,,20,,5,35,CTE3052 1,1,TH,5,3,208-B,Nguyễn Ngọc Vinh,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3052,Kết cấu bê tông cốt thép,3,,20,,5,35,CTE3052 1,2,TH,5,4,305-A,Nguyễn Ngọc Vinh,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3052,Kết cấu bê tông cốt thép,3,35,,,5,70,CTE3052 2,CL,LT,3,1,207-T,Nguyễn Ngọc Vinh+Phạm Hồng Ngọc,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3052,Kết cấu bê tông cốt thép,3,,20,,5,35,CTE3052 2,1,TH,4,3,213-T,Nguyễn Ngọc Vinh,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3052,Kết cấu bê tông cốt thép,3,,20,,5,35,CTE3052 2,2,TH,4,4,213-T,Nguyễn Ngọc Vinh,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3046,Kết cấu thép,3,35,,,5,70,CTE3046 1,CL,LT,3,1,210-T,Nguyễn Văn Hùng+Bùi Văn Trường,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3046,Kết cấu thép,3,,20,,5,35,CTE3046 1,1,TH,4,3,101-A,Nguyễn Văn Hùng,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3046,Kết cấu thép,3,,20,,5,35,CTE3046 1,2,TH,4,4,101-A,Nguyễn Văn Hùng,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3046,Kết cấu thép,3,35,,,5,70,CTE3046 2,CL,LT,3,2,207-T,Nguyễn Văn Hùng+Bùi Văn Trường,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3046,Kết cấu thép,3,,20,,5,35,CTE3046 2,1,TH,2,1,214-T,Nguyễn Văn Hùng,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3046,Kết cấu thép,3,,20,,5,35,CTE3046 2,2,TH,2,2,214-T,Nguyễn Văn Hùng,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3020,Động lực học công trình,3,30,30,,5,70,CTE3020 1,CL,LT+TH,6,2,211-T,Nguyễn Văn Bắc+Nguyễn Hữu Hùng,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K68C-CE1,CTE3020,Động lực học công trình,3,30,30,,5,70,CTE3020 1,CL,LT+TH,4,1,208-T,Nguyễn Văn Bắc+Nguyễn Hữu Hùng,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K68C-CE2,CTE3020,Động lực học công trình,3,30,30,,5,70,CTE3020 2,CL,LT+TH,6,3,206-T,Nguyễn Văn Bắc+Nguyễn Hữu Hùng,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K68C-CE2,CTE3020,Động lực học công trình,3,30,30,,5,70,CTE3020 2,CL,LT+TH,5,2,210-T,Nguyễn Văn Bắc+Nguyễn Hữu Hùng,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K68C-CE1,CTE3056,BIM trong Xây dựng – Giao thông,2,20,,,5,70,CTE3056 1,CL,LT,6,3,205-T,Ngô Đình Đạt,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3056,BIM trong Xây dựng – Giao thông,,,20,,,35,CTE3056 1,1,TH,2,3,101-A,Ngô Đình Đạt,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE3056,BIM trong Xây dựng – Giao thông,,,20,,,35,CTE3056 1,2,TH,2,4,101-A,Ngô Đình Đạt,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3056,BIM trong Xây dựng – Giao thông,2,20,,,5,70,CTE3056 2,CL,LT,6,2,206-T,Ngô Đình Đạt,Học tuần 1-7,Thi đợt 2
K68C-CE2,CTE3056,BIM trong Xây dựng – Giao thông,,,20,,,35,CTE3056 2,1,TH,4,4,203-T,Ngô Đình Đạt,Học tuần 8-14,Thi đợt 2
K68C-CE2,CTE3056,BIM trong Xây dựng – Giao thông,,,20,,,35,CTE3056 2,2,TH,4,1,101-A,Ngô Đình Đạt,Học tuần 8-14,Thi đợt 2
K68C-CE1,CTE3055,Đồ án 1: Kết cấu công trình,2,10,20,,5,70,CTE3055 1,CL,LT+TH,3,3,106-T,Lê Thùy Dương,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE2,CTE3055,Đồ án 1: Kết cấu công trình,2,10,20,,5,70,CTE3055 2,CL,LT+TH,3,4,102-T,Lê Thùy Dương,,"Học 1 ca/10 tuần, thi đợt 1"
K68C-CE1,CTE4013,Thực tập kỹ thuật 2,2,10,40,,5,70,CTE4013 1,CL,LT+TH,7,1,PTN Hòa Lạc,Lê Văn Tuân+Vũ Văn Huy+Nguyễn Văn Yên+Phạm Hồng Ngọc,,Thực tập theo sắp xếp của GV
K68C-CE1,CTE4013,Thực tập kỹ thuật 2,2,10,40,,5,70,CTE4013 1,CL,LT+TH,7,2,PTN Hòa Lạc,Lê Văn Tuân+Vũ Văn Huy+Nguyễn Văn Yên+Phạm Hồng Ngọc,,
K68C-CE2,CTE4013,Thực tập kỹ thuật 2,2,10,40,,5,70,CTE4013 2,CL,LT+TH,7,3,PTN Hòa Lạc,Lê Văn Tuân+Vũ Văn Huy+Nguyễn Văn Yên+Phạm Hồng Ngọc,,
K68C-CE2,CTE4013,Thực tập kỹ thuật 2,2,10,40,,5,70,CTE4013 2,CL,LT+TH,7,4,PTN Hòa Lạc,Lê Văn Tuân+Vũ Văn Huy+Nguyễn Văn Yên+Phạm Hồng Ngọc,,
K67C-CE1,CTE2012,Kinh tế xây dựng,2,25,10,,5,50,CTE2012 1,CL,LT+TH,4,4,506-B,Lê Văn Tuân,,"Học 1 ca/15 tuần, thi đợt 2"
K67C-CE2,CTE2012,Kinh tế xây dựng,2,25,10,,5,50,CTE2012 2,CL,LT+TH,5,2,505-A,Trần Tuấn Linh,,"Học 1 ca/15 tuần, thi đợt 2"
K67C-CE1,CTE4014,Thực tập BIM trong Xây dựng – Giao thông,2,10,40,,5,50,CTE4014 1,CL,LT+TH,3,1,305-A,Ngô Đình Đạt,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K67C-CE1,CTE4014,Thực tập BIM trong Xây dựng – Giao thông,2,10,40,,5,50,CTE4014 1,CL,LT+TH,4,3,506-B,Ngô Đình Đạt,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K67C-CE2,CTE4014,Thực tập BIM trong Xây dựng – Giao thông,2,10,40,,5,50,CTE4014 2,CL,LT+TH,3,4,409-B,Ngô Đình Đạt,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K67C-CE2,CTE4014,Thực tập BIM trong Xây dựng – Giao thông,2,10,40,,5,50,CTE4014 2,CL,LT+TH,2,2,107-B,Ngô Đình Đạt,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K67C-CE1,CTE3063,Đồ án 5A: Thiết kế nhà cao tầng,2,10,40,,5,50,CTE3063 1,CL,LT+TH,7,3,ONL,Nguyễn Ngọc Thắng+Nguyễn Tiến Dũng+Nguyễn Thị Thanh Thúy+Phạm Hồng Ngọc,,
K67C-CE1,CTE3063,Đồ án 5A: Thiết kế nhà cao tầng,2,10,40,,5,50,CTE3063 1,CL,LT+TH,7,4,ONL,Nguyễn Ngọc Thắng+Nguyễn Tiến Dũng+Nguyễn Thị Thanh Thúy+Phạm Hồng Ngọc,,
K67C-CE1,CTE3065,Thiết kế các công trình đặc biệt,2,20,20,,5,50,CTE3065 1,CL,LT+TH,5,2,206-A,Nguyễn Ngọc Thắng,,"Học 1 ca/15 tuần, thi đợt 2"
K67C-CE1,CTE3066,Tổ chức thi công,2,20,20,,5,50,CTE3066 1,CL,LT+TH,3,2,305-A,Phạm Nguyễn Hoàng,,"Học 1 ca/15 tuần, thi đợt 2"
K67C-CE1,CTE3027,Cấp thoát nước,2,25,10,,5,50,CTE3027 1,CL,LT+TH,4,2,102-A,Dương Tuấn Mạnh,,"Học 1 ca/15 tuần, thi đợt 2"
K67C-CE1,CTE3067,Kỹ thuật điện,2,25,10,,5,50,CTE3067 1,CL,LT+TH,5,1,506-A,Nguyễn Văn Yên,,"Học 1 ca/15 tuần, thi đợt 2"
K67C-CE2,CTE3072,Đồ án 5B: Thiết kế công trình cầu đường,2,10,40,,5,50,CTE3072 1,CL,LT+TH,4,1,ONL,Nguyễn Đắc Đức+Vũ Văn Huy,,
K67C-CE2,CTE3072,Đồ án 5B: Thiết kế công trình cầu đường,2,10,40,,5,50,CTE3072 1,CL,LT+TH,4,2,ONL,Nguyễn Đắc Đức+Vũ Văn Huy,,
K67C-CE2,CTE3068,Tin học ứng dụng trong Giao thông,2,10,40,,5,50,CTE3068 1,CL,LT+TH,2,3,107-B,Nguyễn Văn Hùng+Vũ Văn Huy,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K67C-CE2,CTE3068,Tin học ứng dụng trong Giao thông,2,10,40,,5,50,CTE3068 1,CL,LT+TH,6,3,403-B,Nguyễn Văn Hùng+Vũ Văn Huy,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K67C-CE2,CTE3076,Thi công đường,3,30,30,,5,50,CTE3076 1,CL,LT+TH,3,3,409-B,Trần Đức Tâm,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K67C-CE2,CTE3076,Thi công đường,3,30,30,,5,50,CTE3076 1,CL,LT+TH,2,1,107-B,Trần Đức Tâm,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K67C-CE2,CTE3077,Thi công cầu,2,20,20,,5,50,CTE3077 1,CL,LT+TH,5,1,505-A,Trần Đức Tâm,,"Học 1 ca/15 tuần, thi đợt 2"
K67C-CE1,CTE2013,Cơ sở quy hoạch,2,25,10,,5,50,CTE2013 1,CL,LT+TH,2,4,211-T,Trần Tuấn Linh,,"Học 1 ca/15 tuần, thi đợt 2"
K67C-CE2,CTE2013,Cơ sở quy hoạch,2,25,10,,5,50,CTE2013 2,CL,LT+TH,4,3,109-B,Trần Tuấn Linh,,"Học 1 ca/15 tuần, thi đợt 2"
K67C-CE1,CTE3057,Phương pháp phần tử hữu hạn trong kỹ thuật xây dựng,2,20,20,,5,50,CTE3057 1,CL,LT+TH,6,4,210-B,Phạm Đình Nguyện,,"Học 1 ca/15 tuần, thi đợt 2"
K67C-CE2,CTE3057,Phương pháp phần tử hữu hạn trong kỹ thuật xây dựng,2,20,20,,5,50,CTE3057 2,CL,LT+TH,3,2,105-B,Ngô Đình Đạt,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID1,CTE2059,Đồ họa máy tính,3,25,,,5,80,CTE2059 1,CL,LT,6,3,208-T,Ma Thị Châu,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID1,CTE2059,Đồ họa máy tính,3,,40,,5,40,CTE2059 1,1,TH,3,1,216-T,Ma Thị Châu+Nguyễn Minh Kiên,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID1,CTE2059,Đồ họa máy tính,3,,40,,5,40,CTE2059 1,2,TH,3,4,213-T,Ma Thị Châu+Nguyễn Minh Kiên,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID2,CTE2059,Đồ họa máy tính,3,25,,,5,80,CTE2059 2,CL,LT,5,4,206-T,Ma Thị Châu,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID2,CTE2059,Đồ họa máy tính,3,,40,,5,40,CTE2059 2,1,TH,2,2,203-T,Ma Thị Châu+Nguyễn Minh Kiên,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID2,CTE2059,Đồ họa máy tính,3,,40,,5,40,CTE2059 2,2,TH,6,2,307-B,Ma Thị Châu+Nguyễn Minh Kiên,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID1,CTE2057,Hình họa – Vẽ kỹ thuật,3,30,,,5,80,CTE2057 1,CL,LT,6,1,208-T,Dương Tuấn Mạnh,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID1,CTE2057,Hình họa – Vẽ kỹ thuật,3,,30,,5,40,CTE2057 1,1,TH,2,4,215-T,Dương Tuấn Mạnh,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID1,CTE2057,Hình họa – Vẽ kỹ thuật,3,,30,,5,40,CTE2057 1,2,TH,2,3,213-T,Dương Tuấn Mạnh,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID2,CTE2057,Hình họa – Vẽ kỹ thuật,3,30,,,5,80,CTE2057 2,CL,LT,3,4,208-T,Trần Tuấn Linh,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID2,CTE2057,Hình họa – Vẽ kỹ thuật,3,,30,,5,40,CTE2057 2,1,TH,2,3,203-T,Trần Tuấn Linh,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID2,CTE2057,Hình họa – Vẽ kỹ thuật,3,,30,,5,40,CTE2057 2,2,TH,2,2,204-B,Trần Tuấn Linh,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID1,CTE3102,Đồ họa II: After Effects and Premiere,3,15,,,5,80,CTE3102 1,CL,LT,5,4,208-T,Hoàng Minh Hưng,Học tuần 1-5,23/2 - 29/3
K69C-ID1,CTE3102,Đồ họa II: After Effects and Premiere,3,,60,,5,40,CTE3102 1,1,TH,2,3,215-T,Hoàng Minh Hưng,Học tuần 2-8,2/3 - 19/4
K69C-ID1,CTE3102,Đồ họa II: After Effects and Premiere,3,,60,,5,40,CTE3102 1,1,TH,7,1,208-T,Hoàng Minh Hưng,Học tuần 6-18,30-3 - 28/6
K69C-ID1,CTE3102,Đồ họa II: After Effects and Premiere,3,,60,,5,40,CTE3102 1,2,TH,2,2,213-T,Hoàng Minh Hưng,Học tuần 2-8,2/3 - 19/4
K69C-ID1,CTE3102,Đồ họa II: After Effects and Premiere,3,,60,,5,40,CTE3102 1,2,TH,5,1,213-T,Hoàng Minh Hưng,Học tuần 6-18,30-3 - 28/6
K69C-ID2,CTE3102,Đồ họa II: After Effects and Premiere,3,15,,,5,80,CTE3102 2,CL,LT,4,2,209-T,Hoàng Minh Hưng,Học tuần 1-5,23/2 - 29/3
K69C-ID2,CTE3102,Đồ họa II: After Effects and Premiere,3,,60,,5,40,CTE3102 2,1,TH,2,1,203-T,Hoàng Minh Hưng,Học tuần 2-8,2/3 - 19/4
K69C-ID2,CTE3102,Đồ họa II: After Effects and Premiere,3,,60,,5,40,CTE3102 2,1,TH,7,2,209-T,Hoàng Minh Hưng,Học tuần 6-18,30-3 - 28/6
K69C-ID2,CTE3102,Đồ họa II: After Effects and Premiere,3,,60,,5,40,CTE3102 2,2,TH,4,1,209-T,Hoàng Minh Hưng,Học tuần 2-16,2/3 - 14/6
K69C-ID2,CTE3102,Đồ họa II: After Effects and Premiere,3,,60,,5,40,CTE3102 2,2,TH,5,2,206-T,Hoàng Minh Hưng,Học tuần 11-15,4/5 - 7/6
K69C-ID1,CTE3103,Ứng dụng học máy trong thiết kế,3,25,,,5,80,CTE3103 1,CL,LT,4,1,102-T,Phạm Đình Nguyện,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID1,CTE3103,Ứng dụng học máy trong thiết kế,3,,40,,5,40,CTE3103 1,1,TH,3,2,216-T,Phạm Đình Nguyện+Nguyễn Văn Duy,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID1,CTE3103,Ứng dụng học máy trong thiết kế,3,,40,,5,40,CTE3103 1,2,TH,3,3,213-T,Phạm Đình Nguyện+Nguyễn Văn Duy,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID2,CTE3103,Ứng dụng học máy trong thiết kế,3,25,,,5,80,CTE3103 2,CL,LT,3,2,208-T,Vũ Minh Anh,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID2,CTE3103,Ứng dụng học máy trong thiết kế,3,,40,,5,40,CTE3103 2,1,TH,6,2,106-T,Vũ Minh Anh+Phạm Hồng Ngọc,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID2,CTE3103,Ứng dụng học máy trong thiết kế,3,,40,,5,40,CTE3103 2,2,TH,2,3,204-B,Vũ Minh Anh+Phạm Hồng Ngọc,,"Học 1 ca/15 tuần, thi đợt 2"
K69C-ID1,CTE3104,Thẩm mỹ và phương pháp thể hiện thiết kế công nghiệp,3,30,,,5,80,CTE3104 1,CL,LT,6,2,208-T,Nguyễn Thị Nương,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID1,CTE3104,Thẩm mỹ và phương pháp thể hiện thiết kế công nghiệp,3,,30,,5,40,CTE3104 1,1,TH,4,3,406-A,Nguyễn Thị Nương,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID1,CTE3104,Thẩm mỹ và phương pháp thể hiện thiết kế công nghiệp,3,,30,,5,40,CTE3104 1,2,TH,4,4,406-A,Nguyễn Thị Nương,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID2,CTE3104,Thẩm mỹ và phương pháp thể hiện thiết kế công nghiệp,3,30,,,5,80,CTE3104 2,CL,LT,5,3,206-T,Phạm Hoàng Vân+Nguyễn Thị Nương,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID2,CTE3104,Thẩm mỹ và phương pháp thể hiện thiết kế công nghiệp,3,,30,,5,40,CTE3104 2,1,TH,6,3,106-T,Phạm Hoàng Vân+Nguyễn Thị Nương,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID2,CTE3104,Thẩm mỹ và phương pháp thể hiện thiết kế công nghiệp,3,,30,,5,40,CTE3104 2,2,TH,2,1,204-B,Phạm Hoàng Vân+Nguyễn Thị Nương,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID1,PEC1008,Kinh tế chính trị Mác – Lênin,2,20,10,,9,80,PEC1008 24,CL,LT,5,3,208-T,Tạ Thị Đoàn,,"Học 1 ca/10 tuần, thi đợt 1"
K69C-ID2,PEC1008,Kinh tế chính trị Mác – Lênin,2,20,10,,9,80,PEC1008 25,CL,LT,3,3,208-T,Nguyễn Nhật Tân,,"Học 1 ca/10 tuần, thi đợt 1"
K69E-EC1,HIS1001,Lịch sử Đảng Cộng sản Việt Nam,2,20,10,,9,60,HIS1001 28,CL,LT,3,2,404-B,Nguyễn Thị Giang,,"Học 1 ca/10 tuần, thi đợt 1"
K69E-EC2,HIS1001,Lịch sử Đảng Cộng sản Việt Nam,2,20,10,,9,60,HIS1001 29,CL,LT,5,4,204-B,Nguyễn Thị Giang,,"Học 1 ca/10 tuần, thi đợt 1"
